,METER_DATE,YEAR,MONTH,DAY,SEASON,HOUR,TIME_PERIOD,DONGTAN
142,2019-10-04 00:00:00,2019,10,4,2,0,0,27
144,2019-10-04 01:00:00,2019,10,4,2,1,0,24
146,2019-10-04 02:00:00,2019,10,4,2,2,0,13
148,2019-10-04 03:00:00,2019,10,4,2,3,0,12
150,2019-10-04 04:00:00,2019,10,4,2,4,0,14
152,2019-10-04 05:00:00,2019,10,4,2,5,0,17
154,2019-10-04 06:00:00,2019,10,4,2,6,1,17
156,2019-10-04 07:00:00,2019,10,4,2,7,1,21
158,2019-10-04 08:00:00,2019,10,4,2,8,1,23
160,2019-10-04 09:00:00,2019,10,4,2,9,1,27
162,2019-10-04 10:00:00,2019,10,4,2,10,1,40
164,2019-10-04 11:00:00,2019,10,4,2,11,1,42
166,2019-10-04 12:00:00,2019,10,4,2,12,2,39
168,2019-10-04 13:00:00,2019,10,4,2,13,2,40
170,2019-10-04 14:00:00,2019,10,4,2,14,2,43
172,2019-10-04 15:00:00,2019,10,4,2,15,2,38
174,2019-10-04 16:00:00,2019,10,4,2,16,2,36
176,2019-10-04 17:00:00,2019,10,4,2,17,2,34
178,2019-10-04 18:00:00,2019,10,4,2,18,3,31
180,2019-10-04 19:00:00,2019,10,4,2,19,3,31
182,2019-10-04 20:00:00,2019,10,4,2,20,3,33
184,2019-10-04 21:00:00,2019,10,4,2,21,3,31
186,2019-10-04 22:00:00,2019,10,4,2,22,3,29
188,2019-10-04 23:00:00,2019,10,4,2,23,3,25
190,2019-10-05 00:00:00,2019,10,5,2,0,0,21
192,2019-10-05 01:00:00,2019,10,5,2,1,0,16
194,2019-10-05 02:00:00,2019,10,5,2,2,0,15
196,2019-10-05 03:00:00,2019,10,5,2,3,0,14
198,2019-10-05 04:00:00,2019,10,5,2,4,0,15
200,2019-10-05 05:00:00,2019,10,5,2,5,0,16
202,2019-10-05 06:00:00,2019,10,5,2,6,1,17
204,2019-10-05 07:00:00,2019,10,5,2,7,1,19
206,2019-10-05 08:00:00,2019,10,5,2,8,1,18
208,2019-10-05 09:00:00,2019,10,5,2,9,1,23
210,2019-10-05 10:00:00,2019,10,5,2,10,1,29
212,2019-10-05 11:00:00,2019,10,5,2,11,1,32
214,2019-10-05 12:00:00,2019,10,5,2,12,2,30
216,2019-10-05 13:00:00,2019,10,5,2,13,2,29
218,2019-10-05 14:00:00,2019,10,5,2,14,2,27
220,2019-10-05 15:00:00,2019,10,5,2,15,2,27
222,2019-10-05 16:00:00,2019,10,5,2,16,2,24
224,2019-10-05 17:00:00,2019,10,5,2,17,2,25
226,2019-10-05 18:00:00,2019,10,5,2,18,3,27
228,2019-10-05 19:00:00,2019,10,5,2,19,3,30
230,2019-10-05 20:00:00,2019,10,5,2,20,3,35
232,2019-10-05 21:00:00,2019,10,5,2,21,3,33
234,2019-10-05 22:00:00,2019,10,5,2,22,3,34
236,2019-10-05 23:00:00,2019,10,5,2,23,3,29
238,2019-10-06 00:00:00,2019,10,6,2,0,0,23
240,2019-10-06 01:00:00,2019,10,6,2,1,0,24
242,2019-10-06 02:00:00,2019,10,6,2,2,0,23
244,2019-10-06 03:00:00,2019,10,6,2,3,0,28
246,2019-10-06 04:00:00,2019,10,6,2,4,0,27
248,2019-10-06 05:00:00,2019,10,6,2,5,0,25
250,2019-10-06 06:00:00,2019,10,6,2,6,1,22
252,2019-10-06 07:00:00,2019,10,6,2,7,1,21
254,2019-10-06 08:00:00,2019,10,6,2,8,1,17
256,2019-10-06 09:00:00,2019,10,6,2,9,1,27
258,2019-10-06 10:00:00,2019,10,6,2,10,1,29
260,2019-10-06 11:00:00,2019,10,6,2,11,1,25
262,2019-10-06 12:00:00,2019,10,6,2,12,2,32
264,2019-10-06 13:00:00,2019,10,6,2,13,2,33
266,2019-10-06 14:00:00,2019,10,6,2,14,2,23
268,2019-10-06 15:00:00,2019,10,6,2,15,2,25
270,2019-10-06 16:00:00,2019,10,6,2,16,2,24
272,2019-10-06 17:00:00,2019,10,6,2,17,2,30
274,2019-10-06 18:00:00,2019,10,6,2,18,3,31
276,2019-10-06 19:00:00,2019,10,6,2,19,3,36
278,2019-10-06 20:00:00,2019,10,6,2,20,3,41
280,2019-10-06 21:00:00,2019,10,6,2,21,3,36
282,2019-10-06 22:00:00,2019,10,6,2,22,3,38
284,2019-10-06 23:00:00,2019,10,6,2,23,3,39
286,2019-10-07 00:00:00,2019,10,7,2,0,0,30
288,2019-10-07 01:00:00,2019,10,7,2,1,0,23
290,2019-10-07 02:00:00,2019,10,7,2,2,0,19
292,2019-10-07 03:00:00,2019,10,7,2,3,0,24
294,2019-10-07 04:00:00,2019,10,7,2,4,0,24
296,2019-10-07 05:00:00,2019,10,7,2,5,0,20
298,2019-10-07 06:00:00,2019,10,7,2,6,1,20
300,2019-10-07 07:00:00,2019,10,7,2,7,1,27
302,2019-10-07 08:00:00,2019,10,7,2,8,1,26
304,2019-10-07 09:00:00,2019,10,7,2,9,1,29
306,2019-10-07 10:00:00,2019,10,7,2,10,1,27
308,2019-10-07 11:00:00,2019,10,7,2,11,1,25
310,2019-10-07 12:00:00,2019,10,7,2,12,2,24
312,2019-10-07 13:00:00,2019,10,7,2,13,2,25
314,2019-10-07 14:00:00,2019,10,7,2,14,2,25
316,2019-10-07 15:00:00,2019,10,7,2,15,2,26
318,2019-10-07 16:00:00,2019,10,7,2,16,2,26
320,2019-10-07 17:00:00,2019,10,7,2,17,2,25
322,2019-10-07 18:00:00,2019,10,7,2,18,3,26
324,2019-10-07 19:00:00,2019,10,7,2,19,3,35
326,2019-10-07 20:00:00,2019,10,7,2,20,3,41
328,2019-10-07 21:00:00,2019,10,7,2,21,3,44
330,2019-10-07 22:00:00,2019,10,7,2,22,3,41
332,2019-10-07 23:00:00,2019,10,7,2,23,3,36
334,2019-10-08 00:00:00,2019,10,8,2,0,0,29
336,2019-10-08 01:00:00,2019,10,8,2,1,0,16
338,2019-10-08 02:00:00,2019,10,8,2,2,0,19
340,2019-10-08 03:00:00,2019,10,8,2,3,0,21
342,2019-10-08 04:00:00,2019,10,8,2,4,0,23
344,2019-10-08 05:00:00,2019,10,8,2,5,0,22
346,2019-10-08 06:00:00,2019,10,8,2,6,1,22
348,2019-10-08 07:00:00,2019,10,8,2,7,1,28
350,2019-10-08 08:00:00,2019,10,8,2,8,1,35
352,2019-10-08 09:00:00,2019,10,8,2,9,1,31
354,2019-10-08 10:00:00,2019,10,8,2,10,1,28
356,2019-10-08 11:00:00,2019,10,8,2,11,1,25
358,2019-10-08 12:00:00,2019,10,8,2,12,2,25
360,2019-10-08 13:00:00,2019,10,8,2,13,2,25
362,2019-10-08 14:00:00,2019,10,8,2,14,2,27
364,2019-10-08 15:00:00,2019,10,8,2,15,2,28
366,2019-10-08 16:00:00,2019,10,8,2,16,2,28
368,2019-10-08 17:00:00,2019,10,8,2,17,2,22
370,2019-10-08 18:00:00,2019,10,8,2,18,3,23
372,2019-10-08 19:00:00,2019,10,8,2,19,3,33
374,2019-10-08 20:00:00,2019,10,8,2,20,3,37
376,2019-10-08 21:00:00,2019,10,8,2,21,3,40
378,2019-10-08 22:00:00,2019,10,8,2,22,3,39
380,2019-10-08 23:00:00,2019,10,8,2,23,3,35
382,2019-10-09 00:00:00,2019,10,9,2,0,0,32
384,2019-10-09 01:00:00,2019,10,9,2,1,0,30
386,2019-10-09 02:00:00,2019,10,9,2,2,0,25
388,2019-10-09 03:00:00,2019,10,9,2,3,0,25
390,2019-10-09 04:00:00,2019,10,9,2,4,0,25
392,2019-10-09 05:00:00,2019,10,9,2,5,0,24
394,2019-10-09 06:00:00,2019,10,9,2,6,1,26
396,2019-10-09 07:00:00,2019,10,9,2,7,1,27
398,2019-10-09 08:00:00,2019,10,9,2,8,1,25
400,2019-10-09 09:00:00,2019,10,9,2,9,1,28
402,2019-10-09 10:00:00,2019,10,9,2,10,1,32
404,2019-10-09 11:00:00,2019,10,9,2,11,1,32
406,2019-10-09 12:00:00,2019,10,9,2,12,2,32
408,2019-10-09 13:00:00,2019,10,9,2,13,2,31
410,2019-10-09 14:00:00,2019,10,9,2,14,2,29
412,2019-10-09 15:00:00,2019,10,9,2,15,2,24
414,2019-10-09 16:00:00,2019,10,9,2,16,2,24
416,2019-10-09 17:00:00,2019,10,9,2,17,2,23
418,2019-10-09 18:00:00,2019,10,9,2,18,3,27
420,2019-10-09 19:00:00,2019,10,9,2,19,3,38
422,2019-10-09 20:00:00,2019,10,9,2,20,3,43
424,2019-10-09 21:00:00,2019,10,9,2,21,3,47
426,2019-10-09 22:00:00,2019,10,9,2,22,3,43
428,2019-10-09 23:00:00,2019,10,9,2,23,3,38
430,2019-10-10 00:00:00,2019,10,10,2,0,0,32
432,2019-10-10 01:00:00,2019,10,10,2,1,0,25
434,2019-10-10 02:00:00,2019,10,10,2,2,0,25
436,2019-10-10 03:00:00,2019,10,10,2,3,0,23
438,2019-10-10 04:00:00,2019,10,10,2,4,0,22
440,2019-10-10 05:00:00,2019,10,10,2,5,0,23
442,2019-10-10 06:00:00,2019,10,10,2,6,1,23
444,2019-10-10 07:00:00,2019,10,10,2,7,1,34
446,2019-10-10 08:00:00,2019,10,10,2,8,1,36
448,2019-10-10 09:00:00,2019,10,10,2,9,1,35
450,2019-10-10 10:00:00,2019,10,10,2,10,1,29
452,2019-10-10 11:00:00,2019,10,10,2,11,1,28
454,2019-10-10 12:00:00,2019,10,10,2,12,2,25
456,2019-10-10 13:00:00,2019,10,10,2,13,2,25
458,2019-10-10 14:00:00,2019,10,10,2,14,2,25
460,2019-10-10 15:00:00,2019,10,10,2,15,2,29
462,2019-10-10 16:00:00,2019,10,10,2,16,2,21
464,2019-10-10 17:00:00,2019,10,10,2,17,2,22
466,2019-10-10 18:00:00,2019,10,10,2,18,3,24
468,2019-10-10 19:00:00,2019,10,10,2,19,3,36
470,2019-10-10 20:00:00,2019,10,10,2,20,3,45
472,2019-10-10 21:00:00,2019,10,10,2,21,3,45
474,2019-10-10 22:00:00,2019,10,10,2,22,3,45
476,2019-10-10 23:00:00,2019,10,10,2,23,3,42
478,2019-10-11 00:00:00,2019,10,11,2,0,0,36
480,2019-10-11 01:00:00,2019,10,11,2,1,0,28
482,2019-10-11 02:00:00,2019,10,11,2,2,0,23
484,2019-10-11 03:00:00,2019,10,11,2,3,0,23
486,2019-10-11 04:00:00,2019,10,11,2,4,0,25
488,2019-10-11 05:00:00,2019,10,11,2,5,0,22
490,2019-10-11 06:00:00,2019,10,11,2,6,1,25
492,2019-10-11 07:00:00,2019,10,11,2,7,1,30
494,2019-10-11 08:00:00,2019,10,11,2,8,1,43
496,2019-10-11 09:00:00,2019,10,11,2,9,1,44
498,2019-10-11 10:00:00,2019,10,11,2,10,1,38
500,2019-10-11 11:00:00,2019,10,11,2,11,1,37
502,2019-10-11 12:00:00,2019,10,11,2,12,2,36
504,2019-10-11 13:00:00,2019,10,11,2,13,2,29
506,2019-10-11 14:00:00,2019,10,11,2,14,2,31
508,2019-10-11 15:00:00,2019,10,11,2,15,2,32
510,2019-10-11 16:00:00,2019,10,11,2,16,2,30
512,2019-10-11 17:00:00,2019,10,11,2,17,2,25
514,2019-10-11 18:00:00,2019,10,11,2,18,3,26
516,2019-10-11 19:00:00,2019,10,11,2,19,3,31
518,2019-10-11 20:00:00,2019,10,11,2,20,3,38
520,2019-10-11 21:00:00,2019,10,11,2,21,3,40
522,2019-10-11 22:00:00,2019,10,11,2,22,3,39
524,2019-10-11 23:00:00,2019,10,11,2,23,3,37
526,2019-10-12 00:00:00,2019,10,12,2,0,0,34
528,2019-10-12 01:00:00,2019,10,12,2,1,0,22
530,2019-10-12 02:00:00,2019,10,12,2,2,0,21
532,2019-10-12 03:00:00,2019,10,12,2,3,0,17
534,2019-10-12 04:00:00,2019,10,12,2,4,0,21
536,2019-10-12 05:00:00,2019,10,12,2,5,0,20
538,2019-10-12 06:00:00,2019,10,12,2,6,1,21
540,2019-10-12 07:00:00,2019,10,12,2,7,1,20
542,2019-10-12 08:00:00,2019,10,12,2,8,1,23
544,2019-10-12 09:00:00,2019,10,12,2,9,1,31
546,2019-10-12 10:00:00,2019,10,12,2,10,1,33
548,2019-10-12 11:00:00,2019,10,12,2,11,1,13
550,2019-10-12 12:00:00,2019,10,12,2,12,2,39
552,2019-10-12 13:00:00,2019,10,12,2,13,2,32
554,2019-10-12 14:00:00,2019,10,12,2,14,2,26
556,2019-10-12 15:00:00,2019,10,12,2,15,2,26
558,2019-10-12 16:00:00,2019,10,12,2,16,2,23
560,2019-10-12 17:00:00,2019,10,12,2,17,2,24
562,2019-10-12 18:00:00,2019,10,12,2,18,3,23
564,2019-10-12 19:00:00,2019,10,12,2,19,3,32
566,2019-10-12 20:00:00,2019,10,12,2,20,3,39
568,2019-10-12 21:00:00,2019,10,12,2,21,3,44
570,2019-10-12 22:00:00,2019,10,12,2,22,3,41
572,2019-10-12 23:00:00,2019,10,12,2,23,3,39
574,2019-10-13 00:00:00,2019,10,13,2,0,0,33
576,2019-10-13 01:00:00,2019,10,13,2,1,0,23
578,2019-10-13 02:00:00,2019,10,13,2,2,0,26
580,2019-10-13 03:00:00,2019,10,13,2,3,0,20
582,2019-10-13 04:00:00,2019,10,13,2,4,0,22
584,2019-10-13 05:00:00,2019,10,13,2,5,0,20
586,2019-10-13 06:00:00,2019,10,13,2,6,1,22
588,2019-10-13 07:00:00,2019,10,13,2,7,1,23
590,2019-10-13 08:00:00,2019,10,13,2,8,1,20
592,2019-10-13 09:00:00,2019,10,13,2,9,1,25
594,2019-10-13 10:00:00,2019,10,13,2,10,1,29
596,2019-10-13 11:00:00,2019,10,13,2,11,1,32
598,2019-10-13 12:00:00,2019,10,13,2,12,2,29
600,2019-10-13 13:00:00,2019,10,13,2,13,2,26
602,2019-10-13 14:00:00,2019,10,13,2,14,2,28
604,2019-10-13 15:00:00,2019,10,13,2,15,2,23
606,2019-10-13 16:00:00,2019,10,13,2,16,2,24
608,2019-10-13 17:00:00,2019,10,13,2,17,2,29
610,2019-10-13 18:00:00,2019,10,13,2,18,3,31
612,2019-10-13 19:00:00,2019,10,13,2,19,3,41
614,2019-10-13 20:00:00,2019,10,13,2,20,3,54
616,2019-10-13 21:00:00,2019,10,13,2,21,3,51
618,2019-10-13 22:00:00,2019,10,13,2,22,3,50
620,2019-10-13 23:00:00,2019,10,13,2,23,3,38
622,2019-10-14 00:00:00,2019,10,14,2,0,0,42
624,2019-10-14 01:00:00,2019,10,14,2,1,0,37
626,2019-10-14 02:00:00,2019,10,14,2,2,0,29
628,2019-10-14 03:00:00,2019,10,14,2,3,0,29
630,2019-10-14 04:00:00,2019,10,14,2,4,0,36
632,2019-10-14 05:00:00,2019,10,14,2,5,0,32
634,2019-10-14 06:00:00,2019,10,14,2,6,1,29
636,2019-10-14 07:00:00,2019,10,14,2,7,1,31
638,2019-10-14 08:00:00,2019,10,14,2,8,1,37
640,2019-10-14 09:00:00,2019,10,14,2,9,1,29
642,2019-10-14 10:00:00,2019,10,14,2,10,1,26
644,2019-10-14 11:00:00,2019,10,14,2,11,1,28
646,2019-10-14 12:00:00,2019,10,14,2,12,2,26
648,2019-10-14 13:00:00,2019,10,14,2,13,2,24
650,2019-10-14 14:00:00,2019,10,14,2,14,2,25
652,2019-10-14 15:00:00,2019,10,14,2,15,2,27
654,2019-10-14 16:00:00,2019,10,14,2,16,2,25
656,2019-10-14 17:00:00,2019,10,14,2,17,2,24
658,2019-10-14 18:00:00,2019,10,14,2,18,3,28
660,2019-10-14 19:00:00,2019,10,14,2,19,3,42
662,2019-10-14 20:00:00,2019,10,14,2,20,3,52
664,2019-10-14 21:00:00,2019,10,14,2,21,3,55
666,2019-10-14 22:00:00,2019,10,14,2,22,3,55
668,2019-10-14 23:00:00,2019,10,14,2,23,3,50
670,2019-10-15 00:00:00,2019,10,15,2,0,0,42
672,2019-10-15 01:00:00,2019,10,15,2,1,0,34
674,2019-10-15 02:00:00,2019,10,15,2,2,0,31
676,2019-10-15 03:00:00,2019,10,15,2,3,0,29
678,2019-10-15 04:00:00,2019,10,15,2,4,0,28
680,2019-10-15 05:00:00,2019,10,15,2,5,0,28
682,2019-10-15 06:00:00,2019,10,15,2,6,1,27
684,2019-10-15 07:00:00,2019,10,15,2,7,1,35
686,2019-10-15 08:00:00,2019,10,15,2,8,1,43
688,2019-10-15 09:00:00,2019,10,15,2,9,1,33
690,2019-10-15 10:00:00,2019,10,15,2,10,1,28
692,2019-10-15 11:00:00,2019,10,15,2,11,1,27
694,2019-10-15 12:00:00,2019,10,15,2,12,2,26
696,2019-10-15 13:00:00,2019,10,15,2,13,2,25
698,2019-10-15 14:00:00,2019,10,15,2,14,2,24
700,2019-10-15 15:00:00,2019,10,15,2,15,2,24
702,2019-10-15 16:00:00,2019,10,15,2,16,2,24
704,2019-10-15 17:00:00,2019,10,15,2,17,2,24
706,2019-10-15 18:00:00,2019,10,15,2,18,3,27
708,2019-10-15 19:00:00,2019,10,15,2,19,3,39
710,2019-10-15 20:00:00,2019,10,15,2,20,3,50
712,2019-10-15 21:00:00,2019,10,15,2,21,3,54
714,2019-10-15 22:00:00,2019,10,15,2,22,3,53
716,2019-10-15 23:00:00,2019,10,15,2,23,3,48
718,2019-10-16 00:00:00,2019,10,16,2,0,0,41
720,2019-10-16 01:00:00,2019,10,16,2,1,0,33
722,2019-10-16 02:00:00,2019,10,16,2,2,0,26
724,2019-10-16 03:00:00,2019,10,16,2,3,0,28
726,2019-10-16 04:00:00,2019,10,16,2,4,0,23
728,2019-10-16 05:00:00,2019,10,16,2,5,0,27
730,2019-10-16 06:00:00,2019,10,16,2,6,1,31
732,2019-10-16 07:00:00,2019,10,16,2,7,1,39
734,2019-10-16 08:00:00,2019,10,16,2,8,1,44
736,2019-10-16 09:00:00,2019,10,16,2,9,1,34
738,2019-10-16 10:00:00,2019,10,16,2,10,1,27
740,2019-10-16 11:00:00,2019,10,16,2,11,1,26
742,2019-10-16 12:00:00,2019,10,16,2,12,2,25
744,2019-10-16 13:00:00,2019,10,16,2,13,2,24
746,2019-10-16 14:00:00,2019,10,16,2,14,2,22
748,2019-10-16 15:00:00,2019,10,16,2,15,2,25
750,2019-10-16 16:00:00,2019,10,16,2,16,2,24
752,2019-10-16 17:00:00,2019,10,16,2,17,2,20
754,2019-10-16 18:00:00,2019,10,16,2,18,3,20
756,2019-10-16 19:00:00,2019,10,16,2,19,3,37
758,2019-10-16 20:00:00,2019,10,16,2,20,3,48
760,2019-10-16 21:00:00,2019,10,16,2,21,3,53
762,2019-10-16 22:00:00,2019,10,16,2,22,3,50
764,2019-10-16 23:00:00,2019,10,16,2,23,3,43
766,2019-10-17 00:00:00,2019,10,17,2,0,0,44
768,2019-10-17 01:00:00,2019,10,17,2,1,0,29
770,2019-10-17 02:00:00,2019,10,17,2,2,0,32
772,2019-10-17 03:00:00,2019,10,17,2,3,0,25
774,2019-10-17 04:00:00,2019,10,17,2,4,0,24
776,2019-10-17 05:00:00,2019,10,17,2,5,0,25
778,2019-10-17 06:00:00,2019,10,17,2,6,1,28
780,2019-10-17 07:00:00,2019,10,17,2,7,1,45
782,2019-10-17 08:00:00,2019,10,17,2,8,1,39
784,2019-10-17 09:00:00,2019,10,17,2,9,1,31
786,2019-10-17 10:00:00,2019,10,17,2,10,1,28
788,2019-10-17 11:00:00,2019,10,17,2,11,1,27
790,2019-10-17 12:00:00,2019,10,17,2,12,2,25
792,2019-10-17 13:00:00,2019,10,17,2,13,2,25
794,2019-10-17 14:00:00,2019,10,17,2,14,2,25
796,2019-10-17 15:00:00,2019,10,17,2,15,2,23
798,2019-10-17 16:00:00,2019,10,17,2,16,2,23
800,2019-10-17 17:00:00,2019,10,17,2,17,2,22
802,2019-10-17 18:00:00,2019,10,17,2,18,3,28
804,2019-10-17 19:00:00,2019,10,17,2,19,3,41
806,2019-10-17 20:00:00,2019,10,17,2,20,3,51
808,2019-10-17 21:00:00,2019,10,17,2,21,3,56
810,2019-10-17 22:00:00,2019,10,17,2,22,3,58
812,2019-10-17 23:00:00,2019,10,17,2,23,3,47
814,2019-10-18 00:00:00,2019,10,18,2,0,0,44
816,2019-10-18 01:00:00,2019,10,18,2,1,0,30
818,2019-10-18 02:00:00,2019,10,18,2,2,0,30
820,2019-10-18 03:00:00,2019,10,18,2,3,0,29
822,2019-10-18 04:00:00,2019,10,18,2,4,0,27
824,2019-10-18 05:00:00,2019,10,18,2,5,0,26
826,2019-10-18 06:00:00,2019,10,18,2,6,1,28
828,2019-10-18 07:00:00,2019,10,18,2,7,1,36
830,2019-10-18 08:00:00,2019,10,18,2,8,1,43
832,2019-10-18 09:00:00,2019,10,18,2,9,1,36
834,2019-10-18 10:00:00,2019,10,18,2,10,1,31
836,2019-10-18 11:00:00,2019,10,18,2,11,1,29
838,2019-10-18 12:00:00,2019,10,18,2,12,2,27
840,2019-10-18 13:00:00,2019,10,18,2,13,2,28
842,2019-10-18 14:00:00,2019,10,18,2,14,2,26
844,2019-10-18 15:00:00,2019,10,18,2,15,2,25
846,2019-10-18 16:00:00,2019,10,18,2,16,2,26
848,2019-10-18 17:00:00,2019,10,18,2,17,2,24
850,2019-10-18 18:00:00,2019,10,18,2,18,3,27
852,2019-10-18 19:00:00,2019,10,18,2,19,3,39
854,2019-10-18 20:00:00,2019,10,18,2,20,3,49
856,2019-10-18 21:00:00,2019,10,18,2,21,3,51
858,2019-10-18 22:00:00,2019,10,18,2,22,3,50
860,2019-10-18 23:00:00,2019,10,18,2,23,3,48
862,2019-10-19 00:00:00,2019,10,19,2,0,0,43
864,2019-10-19 01:00:00,2019,10,19,2,1,0,32
866,2019-10-19 02:00:00,2019,10,19,2,2,0,30
868,2019-10-19 03:00:00,2019,10,19,2,3,0,28
870,2019-10-19 04:00:00,2019,10,19,2,4,0,27
872,2019-10-19 05:00:00,2019,10,19,2,5,0,29
874,2019-10-19 06:00:00,2019,10,19,2,6,1,30
876,2019-10-19 07:00:00,2019,10,19,2,7,1,29
878,2019-10-19 08:00:00,2019,10,19,2,8,1,30
880,2019-10-19 09:00:00,2019,10,19,2,9,1,34
882,2019-10-19 10:00:00,2019,10,19,2,10,1,32
884,2019-10-19 11:00:00,2019,10,19,2,11,1,33
886,2019-10-19 12:00:00,2019,10,19,2,12,2,31
888,2019-10-19 13:00:00,2019,10,19,2,13,2,27
890,2019-10-19 14:00:00,2019,10,19,2,14,2,25
892,2019-10-19 15:00:00,2019,10,19,2,15,2,25
894,2019-10-19 16:00:00,2019,10,19,2,16,2,23
896,2019-10-19 17:00:00,2019,10,19,2,17,2,26
898,2019-10-19 18:00:00,2019,10,19,2,18,3,28
900,2019-10-19 19:00:00,2019,10,19,2,19,3,36
902,2019-10-19 20:00:00,2019,10,19,2,20,3,44
904,2019-10-19 21:00:00,2019,10,19,2,21,3,44
906,2019-10-19 22:00:00,2019,10,19,2,22,3,46
908,2019-10-19 23:00:00,2019,10,19,2,23,3,42
910,2019-10-20 00:00:00,2019,10,20,2,0,0,40
912,2019-10-20 01:00:00,2019,10,20,2,1,0,31
914,2019-10-20 02:00:00,2019,10,20,2,2,0,32
916,2019-10-20 03:00:00,2019,10,20,2,3,0,29
918,2019-10-20 04:00:00,2019,10,20,2,4,0,13
920,2019-10-20 05:00:00,2019,10,20,2,5,0,46
922,2019-10-20 06:00:00,2019,10,20,2,6,1,28
924,2019-10-20 07:00:00,2019,10,20,2,7,1,32
